FILE_INFO
ListSeparator=,
DecimalSeparator=.

SESSION_INFO
TimeZone,UTC
TimeZoneOffset,0
DateTimeFormat,MM/DD/YY h:mm:ss.nnnnnnnnn

DEVICE_INFO
Address,*

CHANNEL_INFO
Channel,Type,SampleRate,Equation,Coefficients,Unit,UnitSymbol,WhereApplied,WhenApplied
3969:ch3,Timeseries,64Hz,,,,,,
65142:ch3,Timeseries,64Hz,,,,,,

DATA_START
Time,3969:ch3,65142:ch3
09/04/19 21:11:08.578125000,-0.9937032,-1.001453
09/04/19 21:11:08.593750000,-1.001256,-1.00096
09/04/19 21:11:08.609375000,-1.007298,-0.9999748
09/04/19 21:11:08.625000000,-1.004277,-1.002932
09/04/19 21:11:08.640625000,-0.9992417,-1.002685
09/04/19 21:11:08.656250000,-0.9924445,-1.002932
09/04/19 21:11:08.671875000,-0.9979829,-1.0017
09/04/19 21:11:08.687500000,-1.00327,-0.9997284
09/04/19 21:11:08.703125000,-1.001759,-0.9987426
09/04/19 21:11:08.718750000,-0.9967242,-0.999482
09/04/19 21:11:08.734375000,-0.9957172,-0.998989
09/04/19 21:11:08.750000000,-0.9984864,-1.00096
09/04/19 21:11:08.765625000,-0.9992417,-1.002192
09/04/19 21:11:08.781250000,-1.000249,-1.001453
09/04/19 21:11:08.796875000,-1.001759,-1.001946
09/04/19 21:11:08.812500000,-1.001759,-1.002192
09/04/19 21:11:08.828125000,-0.9984864,-0.9999748
09/04/19 21:11:08.843750000,-0.9987382,-1.001453
09/04/19 21:11:08.859375000,-0.9979829,-1.001453
09/04/19 21:11:08.875000000,-0.9974794,-0.999482
09/04/19 21:11:08.890625000,-0.9972277,-0.9980034
09/04/19 21:11:08.906250000,-0.9942067,-0.9999748
09/04/19 21:11:08.921875000,-0.9997451,-1.000221
09/04/19 21:11:08.937500000,-1.007046,-1.000468
09/04/19 21:11:08.953125000,-1.003773,-1.003425
09/04/19 21:11:08.968750000,-0.9979829,-1.003425
09/04/19 21:11:08.984375000,-0.9942067,-1.002192
09/04/19 21:11:09.000000000,-0.9984864,-1.00096
09/04/19 21:11:09.015625000,-1.00478,-1.000714
09/04/19 21:11:09.031250000,-1.001759,-0.9987426
09/04/19 21:11:09.046875000,-0.996976,-0.9987426
09/04/19 21:11:09.062500000,-0.994962,-0.9987426
09/04/19 21:11:09.078125000,-0.9962207,-1.00096
09/04/19 21:11:09.093750000,-1.000249,-1.002192
09/04/19 21:11:09.109375000,-1.003018,-1.002439
09/04/19 21:11:09.125000000,-1.001004,-1.0017
09/04/19 21:11:09.140625000,-1.000752,-1.00096
09/04/19 21:11:09.156250000,-0.9987382,-1.00096
09/04/19 21:11:09.171875000,-0.9979829,-1.001946
09/04/19 21:11:09.187500000,-0.9987382,-1.000468
09/04/19 21:11:09.203125000,-0.9974794,-0.999482
09/04/19 21:11:09.218750000,-0.9984864,-0.9984962
09/04/19 21:11:09.234375000,-0.9989899,-1.000221
09/04/19 21:11:09.250000000,-0.9957172,-1.0017
09/04/19 21:11:09.265625000,-0.9964724,-1.001946
09/04/19 21:11:09.281250000,-1.004025,-0.9999748
09/04/19 21:11:09.296875000,-1.009312,-1.000714
09/04/19 21:11:09.312500000,-1.0005,-1.002685
09/04/19 21:11:09.328125000,-0.9937032,-1.001207
09/04/19 21:11:09.343750000,-0.9916892,-1.0017
09/04/19 21:11:09.359375000,-1.000752,-1.00096
09/04/19 21:11:09.375000000,-1.005787,-0.9997284
09/04/19 21:11:09.390625000,-1.001759,-0.999482
09/04/19 21:11:09.406250000,-0.9957172,-0.999482
09/04/19 21:11:09.421875000,-0.9954655,-0.9997284
09/04/19 21:11:09.437500000,-0.9979829,-1.0017
09/04/19 21:11:09.453125000,-1.001004,-1.002685
09/04/19 21:11:09.468750000,-1.001759,-1.001453
09/04/19 21:11:09.484375000,-1.000752,-1.000714
09/04/19 21:11:09.500000000,-0.9992417,-0.9999748
09/04/19 21:11:09.515625000,-0.9977312,-1.000714
09/04/19 21:11:09.531250000,-0.9972277,-1.001207
09/04/19 21:11:09.546875000,-0.9979829,-1.001207
09/04/19 21:11:09.562500000,-0.9999969,-0.9992355
09/04/19 21:11:09.578125000,-0.9982347,-0.9992355
09/04/19 21:11:09.593750000,-0.9934515,-1.000714
09/04/19 21:11:09.609375000,-1.001759,-1.001453
09/04/19 21:11:09.625000000,-1.005787,-1.00096
09/04/19 21:11:09.640625000,-1.002514,-1.003425
09/04/19 21:11:09.656250000,-0.9987382,-1.001453
09/04/19 21:11:09.671875000,-0.992948,-1.001946
09/04/19 21:11:09.687500000,-0.9982347,-1.001453
09/04/19 21:11:09.703125000,-1.004277,-0.9999748
09/04/19 21:11:09.718750000,-1.002011,-0.9992355
09/04/19 21:11:09.734375000,-0.9967242,-0.999482
09/04/19 21:11:09.750000000,-0.9944584,-0.999482
09/04/19 21:11:09.765625000,-0.9984864,-1.001453
09/04/19 21:11:09.781250000,-1.001759,-1.003178
09/04/19 21:11:09.796875000,-1.002263,-1.0017
09/04/19 21:11:09.812500000,-0.9997451,-1.00096
09/04/19 21:11:09.828125000,-0.9992417,-1.000714
09/04/19 21:11:09.843750000,-0.9984864,-1.000468
09/04/19 21:11:09.859375000,-0.9977312,-1.000221
